track,segment,model,cpu_time(ms),cpu_ram(mb),cpu_time/track_time,cpu_ram/track_time
sec5.mp3,5,htdemucs,6062.0,41.985392,1.2124,8.3970784
sec10.mp3,5,htdemucs,5831.451999999999,42.591362,0.5831451999999999,4.2591361999999995
sec10.mp3,7,htdemucs,4366.3949999999995,42.521508,0.43663949999999996,4.2521508
sec15.mp3,5,htdemucs,9360.201,44.31162,0.6240133999999999,2.9541079999999997
sec15.mp3,7,htdemucs,6115.336,44.335415999999995,0.40768906666666666,2.9556943999999996
sec30.mp3,5,htdemucs,16628.517,49.651604999999996,0.5542838999999999,1.6550535
sec30.mp3,7,htdemucs,11614.779999999999,49.675056,0.3871593333333333,1.6558351999999998
sec60.mp3,5,htdemucs,35081.588,60.283215999999996,0.5846931333333334,1.0047202666666666
sec60.mp3,7,htdemucs,25306.338,60.309323,0.4217723,1.0051553833333333
sec180.mp3,5,htdemucs,95101.07100000001,101.948961,0.5283392833333334,0.5663831166666666
sec180.mp3,7,htdemucs,68577.523,101.976283,0.3809862388888889,0.5665349055555555
